REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
NORTHEN REGION,MZIMBA,Bakili Muluzi,UDF,#FCF600,"10,487"
NORTHEN REGION,MZIMBA,Kamlepo Kalua,MDP,#E20000,764
CENTRAL REGION,KASUNGU,Kamuzu Banda,MCP,#00A200,"94,249"
CENTRAL REGION,KASUNGU,Chakufwa Chihana,AFORD,#3366FF,"27,186"
CENTRAL REGION,KASUNGU,Bakili Muluzi,UDF,#FCF600,"21,749"
CENTRAL REGION,KASUNGU,Kamlepo Kalua,MDP,#E20000,601
CENTRAL REGION,NKHOTAKOTA,Kamuzu Banda,MCP,#00A200,"33,867"
CENTRAL REGION,NKHOTAKOTA,Bakili Muluzi,UDF,#FCF600,"27,526"
CENTRAL REGION,NKHOTAKOTA,Chakufwa Chihana,AFORD,#3366FF,"11,056"
CENTRAL REGION,NKHOTAKOTA,Kamlepo Kalua,MDP,#E20000,269
CENTRAL REGION,NTCHISI,Kamuzu Banda,MCP,#00A200,"28,637"
CENTRAL REGION,NTCHISI,Bakili Muluzi,UDF,#FCF600,"13,561"
CENTRAL REGION,NTCHISI,Chakufwa Chihana,AFORD,#3366FF,"1,516"
CENTRAL REGION,NTCHISI,Kamlepo Kalua,MDP,#E20000,222
CENTRAL REGION,DOWA,Kamuzu Banda,MCP,#00A200,"95,178"
CENTRAL REGION,DOWA,Bakili Muluzi,UDF,#FCF600,"17,779"
CENTRAL REGION,DOWA,Chakufwa Chihana,AFORD,#3366FF,"4,434"
CENTRAL REGION,DOWA,Kamlepo Kalua,MDP,#E20000,834
CENTRAL REGION,SALIMA,Bakili Muluzi,UDF,#FCF600,"33,366"
CENTRAL REGION,SALIMA,Kamuzu Banda,MCP,#00A200,"33,072"
CENTRAL REGION,SALIMA,Chakufwa Chihana,AFORD,#3366FF,"3,039"
CENTRAL REGION,SALIMA,Kamlepo Kalua,MDP,#E20000,429
CENTRAL REGION,MCHINJI,Kamuzu Banda,MCP,#00A200,"67,452"
CENTRAL REGION,MCHINJI,Bakili Muluzi,UDF,#FCF600,"25,983"
CENTRAL REGION,MCHINJI,Chakufwa Chihana,AFORD,#3366FF,"3,156"
CENTRAL REGION,MCHINJI,Kamlepo Kalua,MDP,#E20000,412
CENTRAL REGION,LILONGWE,Kamuzu Banda,MCP,#00A200,"274,739"
CENTRAL REGION,LILONGWE,Bakili Muluzi,UDF,#FCF600,"77,509"
CENTRAL REGION,LILONGWE,Chakufwa Chihana,AFORD,#3366FF,"29,856"
CENTRAL REGION,LILONGWE,Kamlepo Kalua,MDP,#E20000,"1,303"
CENTRAL REGION,DEDZA,Kamuzu Banda,MCP,#00A200,"93,488"
CENTRAL REGION,DEDZA,Bakili Muluzi,UDF,#FCF600,"34,307"
CENTRAL REGION,DEDZA,Chakufwa Chihana,AFORD,#3366FF,"2,980"
CENTRAL REGION,DEDZA,Kamlepo Kalua,MDP,#E20000,503
CENTRAL REGION,NTCHEU,Bakili Muluzi,UDF,#FCF600,"69,801"
CENTRAL REGION,NTCHEU,Kamuzu Banda,MCP,#00A200,"23,057"
CENTRAL REGION,NTCHEU,Chakufwa Chihana,AFORD,#3366FF,"3,543"
CENTRAL REGION,NTCHEU,Kamlepo Kalua,MDP,#E20000,588
SOUTHERN REGION,MANGOCHI,Bakili Muluzi,UDF,#FCF600,"184,230"
SOUTHERN REGION,MANGOCHI,Kamuzu Banda,MCP,#00A200,"15,571"
SOUTHERN REGION,MANGOCHI,Chakufwa Chihana,AFORD,#3366FF,"6,871"
SOUTHERN REGION,MANGOCHI,Kamlepo Kalua,MDP,#E20000,"1,038"
SOUTHERN REGION,MACHINGA,Bakili Muluzi,UDF,#FCF600,"195,082"
SOUTHERN REGION,MACHINGA,Kamuzu Banda,MCP,#00A200,"14,835"
SOUTHERN REGION,MACHINGA,Chakufwa Chihana,AFORD,#3366FF,"3,244"
SOUTHERN REGION,MACHINGA,Kamlepo Kalua,MDP,#E20000,819
SOUTHERN REGION,ZOMBA,Bakili Muluzi,UDF,#FCF600,"146,026"
SOUTHERN REGION,ZOMBA,Kamuzu Banda,MCP,#00A200,"19,514"
SOUTHERN REGION,ZOMBA,Chakufwa Chihana,AFORD,#3366FF,"7,027"
SOUTHERN REGION,ZOMBA,Kamlepo Kalua,MDP,#E20000,"1,009"
SOUTHERN REGION,CHIRADZULU,Bakili Muluzi,UDF,#FCF600,"60,372"
SOUTHERN REGION,CHIRADZULU,Kamuzu Banda,MCP,#00A200,"6,097"
SOUTHERN REGION,CHIRADZULU,Chakufwa Chihana,AFORD,#3366FF,"1,045"
SOUTHERN REGION,CHIRADZULU,Kamlepo Kalua,MDP,#E20000,278
SOUTHERN REGION,BLANTYRE,Bakili Muluzi,UDF,#FCF600,"171,088"
SOUTHERN REGION,BLANTYRE,Kamuzu Banda,MCP,#00A200,"28,682"
SOUTHERN REGION,BLANTYRE,Chakufwa Chihana,AFORD,#3366FF,"17,144"
SOUTHERN REGION,BLANTYRE,Kamlepo Kalua,MDP,#E20000,"1,241"
SOUTHERN REGION,MWANZA,Bakili Muluzi,UDF,#FCF600,"26,232"
SOUTHERN REGION,MWANZA,Kamuzu Banda,MCP,#00A200,"9,550"
SOUTHERN REGION,MWANZA,Chakufwa Chihana,AFORD,#3366FF,"1,747"
SOUTHERN REGION,MWANZA,Kamlepo Kalua,MDP,#E20000,461
SOUTHERN REGION,THYOLO,Bakili Muluzi,UDF,#FCF600,"94,459"
SOUTHERN REGION,THYOLO,Kamuzu Banda,MCP,#00A200,"26,095"
SOUTHERN REGION,THYOLO,Chakufwa Chihana,AFORD,#3366FF,"10,060"
SOUTHERN REGION,THYOLO,Kamlepo Kalua,MDP,#E20000,693
SOUTHERN REGION,MULANJE,Bakili Muluzi,UDF,#FCF600,"109,975"
SOUTHERN REGION,MULANJE,Kamuzu Banda,MCP,#00A200,"34,347"
SOUTHERN REGION,MULANJE,Chakufwa Chihana,AFORD,#3366FF,"19,495"
SOUTHERN REGION,MULANJE,Kamlepo Kalua,MDP,#E20000,"1,044"
SOUTHERN REGION,CHIKWAWA,Bakili Muluzi,UDF,#FCF600,"50,981"
SOUTHERN REGION,CHIKWAWA,Kamuzu Banda,MCP,#00A200,"34,615"
SOUTHERN REGION,CHIKWAWA,Chakufwa Chihana,AFORD,#3366FF,"3,019"
SOUTHERN REGION,CHIKWAWA,Kamlepo Kalua,MDP,#E20000,"1,207"
SOUTHERN REGION,NSANJE,Kamuzu Banda,MCP,#00A200,"29,658"
SOUTHERN REGION,NSANJE,Bakili Muluzi,UDF,#FCF600,"23,891"
SOUTHERN REGION,NSANJE,Chakufwa Chihana,AFORD,#3366FF,"1,607"
SOUTHERN REGION,NSANJE,Kamlepo Kalua,MDP,#E20000,919
