REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
NORTHEN REGION,CHITIPA,Chakufwa Chihana,AFORD,#3366FF,"40,098"
NORTHEN REGION,CHITIPA,Kamuzu Banda,MCP,#00A200,"4,351"
NORTHEN REGION,CHITIPA,Bakili Muluzi,UDF,#FCF600,828
NORTHEN REGION,CHITIPA,Kamlepo Kalua,MDP,#E20000,156
NORTHEN REGION,KARONGA ,Chakufwa Chihana,AFORD,#3366FF,"64,121"
NORTHEN REGION,KARONGA ,Kamuzu Banda,MCP,#00A200,"3,647"
NORTHEN REGION,KARONGA ,Bakili Muluzi,UDF,#FCF600,"2,023"
NORTHEN REGION,KARONGA ,Kamlepo Kalua,MDP,#E20000,249
NORTHEN REGION,RUMPHI,Chakufwa Chihana,AFORD,#3366FF,"47,700"
NORTHEN REGION,RUMPHI,Kamuzu Banda,MCP,#00A200,"2,981"
NORTHEN REGION,RUMPHI,Bakili Muluzi,UDF,#FCF600,"2,506"
NORTHEN REGION,RUMPHI,Kamlepo Kalua,MDP,#E20000,193
NORTHEN REGION,NKHATA BAY ,Chakufwa Chihana,AFORD,#3366FF,"50,053"
NORTHEN REGION,NKHATA BAY ,Bakili Muluzi,UDF,#FCF600,"4,993"
NORTHEN REGION,NKHATA BAY ,Kamuzu Banda,MCP,#00A200,"3,672"
NORTHEN REGION,NKHATA BAY ,Kamlepo Kalua,MDP,#E20000,392
NORTHEN REGION,MZIMBA,Chakufwa Chihana,AFORD,#3366FF,"202,865"
NORTHEN REGION,MZIMBA,Kamuzu Banda,MCP,#00A200,"18,999"
NORTHEN REGION,MZIMBA,Bakili Muluzi,UDF,#FCF600,"10,487"
NORTHEN REGION,MZIMBA,Kamlepo Kalua,MDP,#E20000,764
NORTHEN REGION,KASUNGU,Kamuzu Banda,MCP,#00A200,"94,249"
NORTHEN REGION,KASUNGU,Chakufwa Chihana,AFORD,#3366FF,"27,186"
NORTHEN REGION,KASUNGU,Bakili Muluzi,UDF,#FCF600,"21,749"
NORTHEN REGION,KASUNGU,Kamlepo Kalua,MDP,#E20000,601
NORTHEN REGION,NKHOTAKOTA,Kamuzu Banda,MCP,#00A200,"33,867"
NORTHEN REGION,NKHOTAKOTA,Bakili Muluzi,UDF,#FCF600,"27,526"
NORTHEN REGION,NKHOTAKOTA,Chakufwa Chihana,AFORD,#3366FF,"11,056"
NORTHEN REGION,NKHOTAKOTA,Kamlepo Kalua,MDP,#E20000,269
NORTHEN REGION,NTCHISI,Kamuzu Banda,MCP,#00A200,"28,637"
NORTHEN REGION,NTCHISI,Bakili Muluzi,UDF,#FCF600,"13,561"
NORTHEN REGION,NTCHISI,Chakufwa Chihana,AFORD,#3366FF,"1,516"
NORTHEN REGION,NTCHISI,Kamlepo Kalua,MDP,#E20000,222
NORTHEN REGION,MZIMBA,Chakufwa Chihana,AFORD,#3366FF,"202,865"
NORTHEN REGION,MZIMBA,Kamuzu Banda,MCP,#00A200,"18,999"
