REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
NORTHERN REGION,CHITIPA,Joyce Banda,PP,#FF6400,35756
NORTHERN REGION,CHITIPA,Lazarus Chakwera,MCP,#00A200,7738
NORTHERN REGION,CHITIPA,Kamuzu Chibambo,PETRA,#A5D203,353
NORTHERN REGION,CHITIPA,John Chisi,UP,#948A54,223
NORTHERN REGION,CHITIPA,Friday Jumbe,NLP,#948A54,122
NORTHERN REGION,CHITIPA,Aaron Katsonga,CCP,#975D2A,8965
NORTHERN REGION,CHITIPA,Mark K. Phiri,PPM,#C00000,135
NORTHERN REGION,CHITIPA,Atupele Muluzi,UDF,#FCF600,1238
NORTHERN REGION,CHITIPA,Peter Mutharika,DPP,#00B0F0,31119
NORTHERN REGION,CHITIPA,George Nnensa,MAFUNDE,#948A54,176
NORTHERN REGION,CHITIPA,James Nyondo,NASAF,#948A54,2613
NORTHERN REGION,CHITIPA,Helen Singh,UIP,#948A54,126
NORTHERN REGION,KARONGA,Joyce Banda,PP,#FF6400,64924
NORTHERN REGION,KARONGA,Lazarus Chakwera,MCP,#00A200,27244
NORTHERN REGION,KARONGA,Kamuzu Chibambo,PETRA,#A5D203,431
NORTHERN REGION,KARONGA,John Chisi,UP,#948A54,319
NORTHERN REGION,KARONGA,Friday Jumbe,NLP,#948A54,159
NORTHERN REGION,KARONGA,Aaron Katsonga,CCP,#975D2A,89
NORTHERN REGION,KARONGA,Mark K. Phiri,PPM,#C00000,264
NORTHERN REGION,KARONGA,Atupele Muluzi,UDF,#FCF600,3236
NORTHERN REGION,KARONGA,Peter Mutharika,DPP,#00B0F0,28206
NORTHERN REGION,KARONGA,George Nnensa,MAFUNDE,#948A54,165
NORTHERN REGION,KARONGA,James Nyondo,NASAF,#948A54,263
NORTHERN REGION,KARONGA,Helen Singh,UIP,#948A54,184
NORTHERN REGION,RUMPHI,Joyce Banda,PP,#FF6400,58616
NORTHERN REGION,RUMPHI,Lazarus Chakwera,MCP,#00A200,11315
NORTHERN REGION,RUMPHI,Kamuzu Chibambo,PETRA,#A5D203,232
NORTHERN REGION,RUMPHI,John Chisi,UP,#948A54,275
NORTHERN REGION,RUMPHI,Friday Jumbe,NLP,#948A54,61
NORTHERN REGION,RUMPHI,Aaron Katsonga,CCP,#975D2A,39
NORTHERN REGION,RUMPHI,Mark K. Phiri,PPM,#C00000,83
NORTHERN REGION,RUMPHI,Atupele Muluzi,UDF,#FCF600,2363
NORTHERN REGION,RUMPHI,Peter Mutharika,DPP,#00B0F0,6001
NORTHERN REGION,RUMPHI,George Nnensa,MAFUNDE,#948A54,74
NORTHERN REGION,RUMPHI,James Nyondo,NASAF,#948A54,157
NORTHERN REGION,RUMPHI,Helen Singh,UIP,#948A54,114
NORTHERN REGION,NKHATA BAY,Lazarus Chakwera,MCP,#00A200,6396
NORTHERN REGION,NKHATA BAY,Kamuzu Chibambo,PETRA,#A5D203,273
NORTHERN REGION,NKHATA BAY,John Chisi,UP,#948A54,173
NORTHERN REGION,NKHATA BAY,Friday Jumbe,NLP,#948A54,90
NORTHERN REGION,NKHATA BAY,Aaron Katsonga,CCP,#975D2A,6060
NORTHERN REGION,NKHATA BAY,Mark K. Phiri,PPM,#C00000,164
NORTHERN REGION,NKHATA BAY,Atupele Muluzi,UDF,#FCF600,2660
NORTHERN REGION,NKHATA BAY,Peter Mutharika,DPP,#00B0F0,22677
NORTHERN REGION,NKHATA BAY,George Nnensa,MAFUNDE,#948A54,130
NORTHERN REGION,NKHATA BAY,James Nyondo,NASAF,#948A54,88
NORTHERN REGION,NKHATA BAY,Helen Singh,UIP,#948A54,141
NORTHERN REGION,LIKOMA,Joyce Banda,PP,#FF6400,1557
NORTHERN REGION,LIKOMA,Lazarus Chakwera,MCP,#00A200,1155
NORTHERN REGION,LIKOMA,Kamuzu Chibambo,PETRA,#A5D203,11
NORTHERN REGION,LIKOMA,John Chisi,UP,#948A54,6
NORTHERN REGION,LIKOMA,Friday Jumbe,NLP,#948A54,5
NORTHERN REGION,LIKOMA,Aaron Katsonga,CCP,#975D2A,3
