REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
NORTHERN REGION,CHITIPA,Bingu Wa Mutharika,DPP,#00B0F0,70757
NORTHERN REGION,CHITIPA,Kamuzu Chibambo,PETRA,#A5D203,251
NORTHERN REGION,CHITIPA,Loveness Gondwe,NARC,#948A54,204
NORTHERN REGION,CHITIPA,Stanley Masauli,RP,#948A54,337
NORTHERN REGION,CHITIPA,Gowa Nyasulu,AFORD,#0070C0,149
NORTHERN REGION,CHITIPA,James Nyondo,INDEPENDENT,#948A54,288
NORTHERN REGION,CHITIPA,John Tembo,MCP,#00A200,735
NORTHERN REGION,KARONGA,Bingu Wa Mutharika,DPP,#00B0F0,98268
NORTHERN REGION,KARONGA,Kamuzu Chibambo,PETRA,#A5D203,393
NORTHERN REGION,KARONGA,Loveness Gondwe,NARC,#948A54,433
NORTHERN REGION,KARONGA,Stanley Masauli,RP,#948A54,315
NORTHERN REGION,KARONGA,Gowa Nyasulu,AFORD,#0070C0,647
NORTHERN REGION,KARONGA,James Nyondo,INDEPENDENT,#948A54,394
NORTHERN REGION,KARONGA,John Tembo,MCP,#00A200,2956
NORTHERN REGION,RUMPHI,Bingu Wa Mutharika,DPP,#00B0F0,71036
NORTHERN REGION,RUMPHI,Kamuzu Chibambo,PETRA,#A5D203,264
NORTHERN REGION,RUMPHI,Loveness Gondwe,NARC,#948A54,442
NORTHERN REGION,RUMPHI,Stanley Masauli,RP,#948A54,164
NORTHERN REGION,RUMPHI,Gowa Nyasulu,AFORD,#0070C0,1770
NORTHERN REGION,RUMPHI,James Nyondo,INDEPENDENT,#948A54,226
NORTHERN REGION,RUMPHI,John Tembo,MCP,#00A200,2302
NORTHERN REGION,NKHATA BAY,Bingu Wa Mutharika,DPP,#00B0F0,60421
NORTHERN REGION,NKHATA BAY,Kamuzu Chibambo,PETRA,#A5D203,251
NORTHERN REGION,NKHATA BAY,Loveness Gondwe,NARC,#948A54,372
NORTHERN REGION,NKHATA BAY,Stanley Masauli,RP,#948A54,273
NORTHERN REGION,NKHATA BAY,Gowa Nyasulu,AFORD,#0070C0,142
NORTHERN REGION,NKHATA BAY,James Nyondo,INDEPENDENT,#948A54,268
NORTHERN REGION,NKHATA BAY,John Tembo,MCP,#00A200,2791
NORTHERN REGION,MZIMBA,Bingu Wa Mutharika,DPP,#00B0F0,331000
NORTHERN REGION,MZIMBA,Kamuzu Chibambo,PETRA,#A5D203,1262
NORTHERN REGION,MZIMBA,Loveness Gondwe,NARC,#948A54,2451
NORTHERN REGION,MZIMBA,Stanley Masauli,RP,#948A54,968
NORTHERN REGION,MZIMBA,Gowa Nyasulu,AFORD,#0070C0,1191
NORTHERN REGION,MZIMBA,James Nyondo,INDEPENDENT,#948A54,762
NORTHERN REGION,MZIMBA,John Tembo,MCP,#00A200,11073
NORTHERN REGION,LIKOMA,Bingu Wa Mutharika,DPP,#00B0F0,3491
NORTHERN REGION,LIKOMA,Kamuzu Chibambo,PETRA,#A5D203,14
NORTHERN REGION,LIKOMA,Loveness Gondwe,NARC,#948A54,29
NORTHERN REGION,LIKOMA,Stanley Masauli,RP,#948A54,24
NORTHERN REGION,LIKOMA,Gowa Nyasulu,AFORD,#0070C0,11
NORTHERN REGION,LIKOMA,James Nyondo,INDEPENDENT,#948A54,13
NORTHERN REGION,LIKOMA,John Tembo,MCP,#00A200,731
CENTRAL REGION,KASUNGU,Bingu Wa Mutharika,DPP,#00B0F0,146235
CENTRAL REGION,KASUNGU,Kamuzu Chibambo,PETRA,#A5D203,1754
CENTRAL REGION,KASUNGU,Loveness Gondwe,NARC,#948A54,1734
CENTRAL REGION,KASUNGU,Stanley Masauli,RP,#948A54,2389
CENTRAL REGION,KASUNGU,Gowa Nyasulu,AFORD,#0070C0,768
CENTRAL REGION,KASUNGU,James Nyondo,INDEPENDENT,#948A54,1036
CENTRAL REGION,KASUNGU,John Tembo,MCP,#00A200,63611
CENTRAL REGION,NKHOTAKOTA,Bingu Wa Mutharika,DPP,#00B0F0,58115
CENTRAL REGION,NKHOTAKOTA,Kamuzu Chibambo,PETRA,#A5D203,730
CENTRAL REGION,NKHOTAKOTA,Loveness Gondwe,NARC,#948A54,860
CENTRAL REGION,NKHOTAKOTA,Stanley Masauli,RP,#948A54,815
CENTRAL REGION,NKHOTAKOTA,Gowa Nyasulu,AFORD,#0070C0,525
CENTRAL REGION,NKHOTAKOTA,James Nyondo,INDEPENDENT,#948A54,667
CENTRAL REGION,NKHOTAKOTA,John Tembo,MCP,#00A200,43249
CENTRAL REGION,NTCHISI,Bingu Wa Mutharika,DPP,#00B0F0,61051
CENTRAL REGION,NTCHISI,Kamuzu Chibambo,PETRA,#A5D203,716
CENTRAL REGION,NTCHISI,Loveness Gondwe,NARC,#948A54,368
CENTRAL REGION,NTCHISI,Stanley Masauli,RP,#948A54,737
CENTRAL REGION,NTCHISI,Gowa Nyasulu,AFORD,#0070C0,208
CENTRAL REGION,NTCHISI,James Nyondo,INDEPENDENT,#948A54,348
CENTRAL REGION,NTCHISI,John Tembo,MCP,#00A200,16211
CENTRAL REGION,DOWA,Bingu Wa Mutharika,DPP,#00B0F0,106221
CENTRAL REGION,DOWA,Kamuzu Chibambo,PETRA,#A5D203,1895
CENTRAL REGION,DOWA,Loveness Gondwe,NARC,#948A54,1582
CENTRAL REGION,DOWA,Stanley Masauli,RP,#948A54,2209
CENTRAL REGION,DOWA,Gowa Nyasulu,AFORD,#0070C0,559
CENTRAL REGION,DOWA,James Nyondo,INDEPENDENT,#948A54,1187
CENTRAL REGION,DOWA,John Tembo,MCP,#00A200,78953
CENTRAL REGION,SALIMA,Bingu Wa Mutharika,DPP,#00B0F0,45120
CENTRAL REGION,SALIMA,Kamuzu Chibambo,PETRA,#A5D203,1286
CENTRAL REGION,SALIMA,Loveness Gondwe,NARC,#948A54,1132
CENTRAL REGION,SALIMA,Stanley Masauli,RP,#948A54,1307
CENTRAL REGION,SALIMA,Gowa Nyasulu,AFORD,#0070C0,643
CENTRAL REGION,SALIMA,James Nyondo,INDEPENDENT,#948A54,1076
