REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
Southern Region,Machinga ,Peter Kuwani,MMD,#CA3A43,"1,684"
Southern Region,Machinga ,Peter Mutharika,DPP,#00B0F0,"131,439"
Southern Region,Mangochi ,Lazarus Chakwera,MCP,#00A200,"33,293"
Southern Region,Mangochi ,Peter Kuwani,MMD,#CA3A43,"2,630"
Southern Region,Mangochi ,Peter Mutharika,DPP,#00B0F0,"195,531"
Southern Region,Mulanje ,Lazarus Chakwera,MCP,#00A200,"17,499"
Southern Region,Mulanje ,Peter Kuwani,MMD,#CA3A43,"1,417"
Southern Region,Mulanje ,Peter Mutharika,DPP,#00B0F0,"173,482"
Southern Region,Mwanza ,Lazarus Chakwera,MCP,#00A200,"9,456"
Southern Region,Mwanza ,Peter Kuwani,MMD,#CA3A43,336
Southern Region,Mwanza ,Peter Mutharika,DPP,#00B0F0,"12,185"
Southern Region,Neno ,Lazarus Chakwera,MCP,#00A200,"6,652"
Southern Region,Neno ,Peter Kuwani,MMD,#CA3A43,364
Southern Region,Neno ,Peter Mutharika,DPP,#00B0F0,"21,878"
Southern Region,Nsanje ,Lazarus Chakwera,MCP,#00A200,"21,923"
Southern Region,Nsanje ,Peter Kuwani,MMD,#CA3A43,666
Southern Region,Nsanje ,Peter Mutharika,DPP,#00B0F0,"57,861"
Southern Region,Phalombe ,Lazarus Chakwera,MCP,#00A200,"6,092"
Southern Region,Phalombe ,Peter Kuwani,MMD,#CA3A43,674
Southern Region,Phalombe ,Peter Mutharika,DPP,#00B0F0,"118,990"
Southern Region,Thyolo ,Lazarus Chakwera,MCP,#00A200,"13,631"
Southern Region,Thyolo ,Peter Kuwani,MMD,#CA3A43,964
Southern Region,Thyolo ,Peter Mutharika,DPP,#00B0F0,"179,454"
Southern Region,Zomba ,Lazarus Chakwera,MCP,#00A200,"46,610"
Southern Region,Zomba ,Peter Kuwani,MMD,#CA3A43,"1,823"
Southern Region,Zomba ,Peter Mutharika,DPP,#00B0F0,"149,051"
