REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
Northern Region,Chitipa,Atupele Muluzi,UDF,#FFFF00,499
Northern Region,Chitipa,Saulos Chilima,UTM,#FF0000,43727
Northern Region,Chitipa,Lazarus Chakwera,MCP,#00A200,16232
Northern Region,Chitipa,Peter Kuwani,MMD,#008000,455
Northern Region,Chitipa,Peter Mutharika,DPP,#00B0F0,13975
Northern Region,Chitipa,John Chisi,UP,#6A5ACD,570
Northern Region,Chitipa,Hadwick Kaliya,INDEPENDENT,#A49960,306
Northern Region,Karonga,Atupele Muluzi,UDF,#FFFF00,1628
Northern Region,Karonga,Saulos Chilima,UTM,#FF0000,55567
Northern Region,Karonga,Lazarus Chakwera,MCP,#00A200,26209
Northern Region,Karonga,Peter Kuwani,MMD,#008000,666
Northern Region,Karonga,Peter Mutharika,DPP,#00B0F0,30658
Northern Region,Karonga,John Chisi,UP,#6A5ACD,707
Northern Region,Karonga,Hadwick Kaliya,INDEPENDENT,#A49960,373
Northern Region,Likoma,Atupele Muluzi,UDF,#FFFF00,135
Northern Region,Likoma,Saulos Chilima,UTM,#FF0000,2063
Northern Region,Likoma,Lazarus Chakwera,MCP,#00A200,1353
Northern Region,Likoma,Peter Kuwani,MMD,#008000,5
Northern Region,Likoma,Peter Mutharika,DPP,#00B0F0,2225
Northern Region,Likoma,John Chisi,UP,#6A5ACD,10
Northern Region,Likoma,Hadwick Kaliya,INDEPENDENT,#A49960,6
Northern Region,Mzimba,Atupele Muluzi,UDF,#FFFF00,3319
Northern Region,Mzimba,Saulos Chilima,UTM,#FF0000,161872
Northern Region,Mzimba,Lazarus Chakwera,MCP,#00A200,144974
Northern Region,Mzimba,Peter Kuwani,MMD,#008000,1833
Northern Region,Mzimba,Peter Mutharika,DPP,#00B0F0,56014
Northern Region,Mzimba,John Chisi,UP,#6A5ACD,2532
Northern Region,Mzimba,Hadwick Kaliya,INDEPENDENT,#A49960,1491
Northern Region,Nkhata Bay,Atupele Muluzi,UDF,#FFFF00,790
Northern Region,Nkhata Bay,Saulos Chilima,UTM,#FF0000,35106
Northern Region,Nkhata Bay,Lazarus Chakwera,MCP,#00A200,19393
Northern Region,Nkhata Bay,Peter Kuwani,MMD,#008000,356
Northern Region,Nkhata Bay,Peter Mutharika,DPP,#00B0F0,21082
Northern Region,Nkhata Bay,John Chisi,UP,#6A5ACD,316
Northern Region,Nkhata Bay,Hadwick Kaliya,INDEPENDENT,#A49960,214
Northern Region,Rumphi,Atupele Muluzi,UDF,#FFFF00,551
Northern Region,Rumphi,Saulos Chilima,UTM,#FF0000,41256
Northern Region,Rumphi,Lazarus Chakwera,MCP,#00A200,19285
Northern Region,Rumphi,Peter Kuwani,MMD,#008000,245
Northern Region,Rumphi,Peter Mutharika,DPP,#00B0F0,14596
Northern Region,Rumphi,John Chisi,UP,#6A5ACD,401
Northern Region,Rumphi,Hadwick Kaliya,INDEPENDENT,#A49960,191
Central Region,Dedza ,Atupele Muluzi,UDF,#FFFF00,7512
Central Region,Dedza ,Saulos Chilima,UTM,#FF0000,24602
Central Region,Dedza ,Lazarus Chakwera,MCP,#00A200,149395
Central Region,Dedza ,Peter Kuwani,MMD,#008000,810
Central Region,Dedza ,Peter Mutharika,DPP,#00B0F0,23278
Central Region,Dedza ,John Chisi,UP,#6A5ACD,1015
Central Region,Dedza ,Hadwick Kaliya,INDEPENDENT,#A49960,898
Central Region,Dowa,Atupele Muluzi,UDF,#FFFF00,1054
Central Region,Dowa,Saulos Chilima,UTM,#FF0000,17666
Central Region,Dowa,Lazarus Chakwera,MCP,#00A200,212043
Central Region,Dowa,Peter Kuwani,MMD,#008000,229
Central Region,Dowa,Peter Mutharika,DPP,#00B0F0,10066
Central Region,Dowa,John Chisi,UP,#6A5ACD,430
Central Region,Dowa,Hadwick Kaliya,INDEPENDENT,#A49960,285
Central Region,Kasungu,Atupele Muluzi,UDF,#FFFF00,1784
Central Region,Kasungu,Saulos Chilima,UTM,#FF0000,30729
Central Region,Kasungu,Lazarus Chakwera,MCP,#00A200,172658
Central Region,Kasungu,Peter Kuwani,MMD,#008000,599
Central Region,Kasungu,Peter Mutharika,DPP,#00B0F0,31455
Central Region,Kasungu,John Chisi,UP,#6A5ACD,757
Central Region,Kasungu,Hadwick Kaliya,INDEPENDENT,#A49960,564
Central Region,Lilongwe ,Atupele Muluzi,UDF,#FFFF00,13064
Central Region,Lilongwe ,Saulos Chilima,UTM,#FF0000,113909
Central Region,Lilongwe ,Lazarus Chakwera,MCP,#00A200,530941
Central Region,Lilongwe ,Peter Kuwani,MMD,#008000,1113
Central Region,Lilongwe ,Peter Mutharika,DPP,#00B0F0,82080
Central Region,Lilongwe ,John Chisi,UP,#6A5ACD,1575
Central Region,Lilongwe ,Hadwick Kaliya,INDEPENDENT,#A49960,1046
Central Region,Mchinji ,Atupele Muluzi,UDF,#FFFF00,1536
Central Region,Mchinji ,Saulos Chilima,UTM,#FF0000,17463
Central Region,Mchinji ,Lazarus Chakwera,MCP,#00A200,121759
Central Region,Mchinji ,Peter Kuwani,MMD,#008000,608
Central Region,Mchinji ,Peter Mutharika,DPP,#00B0F0,19935
Central Region,Mchinji ,John Chisi,UP,#6A5ACD,521
Central Region,Mchinji ,Hadwick Kaliya,INDEPENDENT,#A49960,338
