REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
CENTRAL REGION,KASUNGU,Daniel Nkhumbwe,CONU,#3366FF,"1,469"
CENTRAL REGION,NKHOTAKOTA,Gwanda Chakuamba,MCP,#00A200,"55,373"
CENTRAL REGION,NKHOTAKOTA,Kamlepo Kalua,MDP,#E20000,"1,488"
CENTRAL REGION,NKHOTAKOTA,Bakili Muluzi,UDF,#FCF600,"54,262"
CENTRAL REGION,NKHOTAKOTA,Bingu Wa Mutharika,UP,#6A5ACD,531
CENTRAL REGION,NKHOTAKOTA,Daniel Nkhumbwe,CONU,#3366FF,653
CENTRAL REGION,NTCHISI,Gwanda Chakuamba,MCP,#00A200,"41,924"
CENTRAL REGION,NTCHISI,Kamlepo Kalua,MDP,#E20000,"1,333"
CENTRAL REGION,NTCHISI,Bakili Muluzi,UDF,#FCF600,"32,496"
CENTRAL REGION,NTCHISI,Bingu Wa Mutharika,UP,#6A5ACD,317
CENTRAL REGION,NTCHISI,Daniel Nkhumbwe,CONU,#3366FF,279
CENTRAL REGION,DOWA,Gwanda Chakuamba,MCP,#00A200,"133,392"
CENTRAL REGION,DOWA,Kamlepo Kalua,MDP,#E20000,"3,212"
CENTRAL REGION,DOWA,Bakili Muluzi,UDF,#FCF600,"45,841"
CENTRAL REGION,DOWA,Bingu Wa Mutharika,UP,#6A5ACD,543
CENTRAL REGION,DOWA,Daniel Nkhumbwe,CONU,#3366FF,643
CENTRAL REGION,SALIMA,Gwanda Chakuamba,MCP,#00A200,50106
CENTRAL REGION,SALIMA,Kamlepo Kalua,MDP,#E20000,2129
CENTRAL REGION,SALIMA,Bakili Muluzi,UDF,#FCF600,55597
CENTRAL REGION,SALIMA,Bingu Wa Mutharika,UP,#6A5ACD,516
CENTRAL REGION,SALIMA,Daniel Nkhumbwe,CONU,#3366FF,501
CENTRAL REGION,MCHINJI,Gwanda Chakuamba,MCP,#00A200,"87,453"
CENTRAL REGION,MCHINJI,Kamlepo Kalua,MDP,#E20000,"2,304"
CENTRAL REGION,MCHINJI,Bakili Muluzi,UDF,#FCF600,"53,938"
CENTRAL REGION,MCHINJI,Bingu Wa Mutharika,UP,#6A5ACD,587
CENTRAL REGION,MCHINJI,Daniel Nkhumbwe,CONU,#3366FF,769
CENTRAL REGION,LILONGWE,Gwanda Chakuamba,MCP,#00A200,"417,532"
CENTRAL REGION,LILONGWE,Kamlepo Kalua,MDP,#E20000,"7,090"
CENTRAL REGION,LILONGWE,Bakili Muluzi,UDF,#FCF600,"142,015"
CENTRAL REGION,LILONGWE,Bingu Wa Mutharika,UP,#6A5ACD,"1,385"
CENTRAL REGION,LILONGWE,Daniel Nkhumbwe,CONU,#3366FF,"1,715"
CENTRAL REGION,DEDZA,Gwanda Chakuamba,MCP,#00A200,"144,937"
CENTRAL REGION,DEDZA,Kamlepo Kalua,MDP,#E20000,"3,937"
CENTRAL REGION,DEDZA,Bakili Muluzi,UDF,#FCF600,"69,509"
CENTRAL REGION,DEDZA,Bingu Wa Mutharika,UP,#6A5ACD,704
CENTRAL REGION,DEDZA,Daniel Nkhumbwe,CONU,#3366FF,924
CENTRAL REGION,NTCHEU,Gwanda Chakuamba,MCP,#00A200,"30,246"
CENTRAL REGION,NTCHEU,Kamlepo Kalua,MDP,#E20000,"2,742"
CENTRAL REGION,NTCHEU,Bakili Muluzi,UDF,#FCF600,"131,229"
CENTRAL REGION,NTCHEU,Bingu Wa Mutharika,UP,#6A5ACD,"1,452"
CENTRAL REGION,NTCHEU,Daniel Nkhumbwe,CONU,#3366FF,"1,053"
SOUTHERN REGION,MANGOCHI,Gwanda Chakuamba,MCP,#00A200,"24,160"
SOUTHERN REGION,MANGOCHI,Kamlepo Kalua,MDP,#E20000,"4,311"
SOUTHERN REGION,MANGOCHI,Bakili Muluzi,UDF,#FCF600,"275,940"
SOUTHERN REGION,MANGOCHI,Bingu Wa Mutharika,UP,#6A5ACD,"1,367"
SOUTHERN REGION,MANGOCHI,Daniel Nkhumbwe,CONU,#3366FF,"1,158"
SOUTHERN REGION,BALAKA,Gwanda Chakuamba,MCP,#00A200,"10,400"
SOUTHERN REGION,BALAKA,Kamlepo Kalua,MDP,#E20000,"1,803"
SOUTHERN REGION,BALAKA,Bakili Muluzi,UDF,#FCF600,"111,723"
SOUTHERN REGION,BALAKA,Bingu Wa Mutharika,UP,#6A5ACD,508
SOUTHERN REGION,BALAKA,Daniel Nkhumbwe,CONU,#3366FF,540
SOUTHERN REGION,MACHINGA,Gwanda Chakuamba,MCP,#00A200,"6,193"
SOUTHERN REGION,MACHINGA,Kamlepo Kalua,MDP,#E20000,"2,399"
SOUTHERN REGION,MACHINGA,Bakili Muluzi,UDF,#FCF600,"175,735"
SOUTHERN REGION,MACHINGA,Bingu Wa Mutharika,UP,#6A5ACD,801
SOUTHERN REGION,MACHINGA,Daniel Nkhumbwe,CONU,#3366FF,648
SOUTHERN REGION,ZOMBA,Gwanda Chakuamba,MCP,#00A200,"26,021"
SOUTHERN REGION,ZOMBA,Kamlepo Kalua,MDP,#E20000,"4,591"
SOUTHERN REGION,ZOMBA,Bakili Muluzi,UDF,#FCF600,"226,336"
SOUTHERN REGION,ZOMBA,Bingu Wa Mutharika,UP,#6A5ACD,"1,198"
SOUTHERN REGION,ZOMBA,Daniel Nkhumbwe,CONU,#3366FF,910
SOUTHERN REGION,CHIRADZULU,Gwanda Chakuamba,MCP,#00A200,"10,697"
SOUTHERN REGION,CHIRADZULU,Kamlepo Kalua,MDP,#E20000,"1,454"
SOUTHERN REGION,CHIRADZULU,Bakili Muluzi,UDF,#FCF600,"107,161"
SOUTHERN REGION,CHIRADZULU,Bingu Wa Mutharika,UP,#6A5ACD,549
SOUTHERN REGION,CHIRADZULU,Daniel Nkhumbwe,CONU,#3366FF,420
SOUTHERN REGION,BLANTYRE,Gwanda Chakuamba,MCP,#00A200,"86,662"
SOUTHERN REGION,BLANTYRE,Kamlepo Kalua,MDP,#E20000,"3,739"
SOUTHERN REGION,BLANTYRE,Bakili Muluzi,UDF,#FCF600,"262,974"
SOUTHERN REGION,BLANTYRE,Bingu Wa Mutharika,UP,#6A5ACD,"1,756"
SOUTHERN REGION,BLANTYRE,Daniel Nkhumbwe,CONU,#3366FF,"1,199"
SOUTHERN REGION,MWANZA,Gwanda Chakuamba,MCP,#00A200,"13,256"
SOUTHERN REGION,MWANZA,Kamlepo Kalua,MDP,#E20000,"1,252"
SOUTHERN REGION,MWANZA,Bakili Muluzi,UDF,#FCF600,"50,901"
SOUTHERN REGION,MWANZA,Bingu Wa Mutharika,UP,#6A5ACD,429
SOUTHERN REGION,MWANZA,Daniel Nkhumbwe,CONU,#3366FF,478
SOUTHERN REGION,THYOLO,Gwanda Chakuamba,MCP,#00A200,"37,565"
SOUTHERN REGION,THYOLO,Kamlepo Kalua,MDP,#E20000,"4,235"
SOUTHERN REGION,THYOLO,Bakili Muluzi,UDF,#FCF600,"174,327"
SOUTHERN REGION,THYOLO,Bingu Wa Mutharika,UP,#6A5ACD,"3,448"
SOUTHERN REGION,THYOLO,Daniel Nkhumbwe,CONU,#3366FF,"1,586"
SOUTHERN REGION,PHALOMBE,Gwanda Chakuamba,MCP,#00A200,"14,750"
SOUTHERN REGION,PHALOMBE,Kamlepo Kalua,MDP,#E20000,"2,130"
SOUTHERN REGION,PHALOMBE,Bakili Muluzi,UDF,#FCF600,"97,693"
SOUTHERN REGION,PHALOMBE,Bingu Wa Mutharika,UP,#6A5ACD,"1,241"
SOUTHERN REGION,PHALOMBE,Daniel Nkhumbwe,CONU,#3366FF,972
SOUTHERN REGION,MULANJE,Gwanda Chakuamba,MCP,#00A200,"38,615"
SOUTHERN REGION,MULANJE,Kamlepo Kalua,MDP,#E20000,"5,269"
SOUTHERN REGION,MULANJE,Bakili Muluzi,UDF,#FCF600,"165,050"
SOUTHERN REGION,MULANJE,Bingu Wa Mutharika,UP,#6A5ACD,"2,162"
SOUTHERN REGION,MULANJE,Daniel Nkhumbwe,CONU,#3366FF,"1,730"
SOUTHERN REGION,CHIKWAWA,Gwanda Chakuamba,MCP,#00A200,"83,109"
SOUTHERN REGION,CHIKWAWA,Kamlepo Kalua,MDP,#E20000,"2,712"
SOUTHERN REGION,CHIKWAWA,Bakili Muluzi,UDF,#FCF600,"68,228"
SOUTHERN REGION,CHIKWAWA,Bingu Wa Mutharika,UP,#6A5ACD,557
SOUTHERN REGION,CHIKWAWA,Daniel Nkhumbwe,CONU,#3366FF,639
SOUTHERN REGION,NSANJE,Gwanda Chakuamba,MCP,#00A200,60315
SOUTHERN REGION,NSANJE,Kamlepo Kalua,MDP,#E20000,1048
SOUTHERN REGION,NSANJE,Bakili Muluzi,UDF,#FCF600,30575
SOUTHERN REGION,NSANJE,Bingu Wa Mutharika,UP,#6A5ACD,244
SOUTHERN REGION,NSANJE,Daniel Nkhumbwe,CONU,#3366FF,257
