REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
NORTHERN REGION,CHITIPA,Gwanda Chakuamba,MCP,#00A200,"57,851"
NORTHERN REGION,CHITIPA,Kamlepo Kalua,MDP,#E20000,554
NORTHERN REGION,CHITIPA,Bakili Muluzi,UDF,#FCF600,"6,330"
NORTHERN REGION,CHITIPA,Bingu Wa Mutharika,UP,#6A5ACD,68
NORTHERN REGION,CHITIPA,Daniel Nkhumbwe,CONU,#3366FF,576
NORTHERN REGION,KARONGA,Gwanda Chakuamba,MCP,#00A200,88977
NORTHERN REGION,KARONGA,Kamlepo Kalua,MDP,#E20000,617
NORTHERN REGION,KARONGA,Bakili Muluzi,UDF,#FCF600,5366
NORTHERN REGION,KARONGA,Bingu Wa Mutharika,UP,#6A5ACD,142
NORTHERN REGION,KARONGA,Daniel Nkhumbwe,CONU,#3366FF,612
NORTHERN REGION,RUMPHI,Gwanda Chakuamba,MCP,#00A200,"67,160"
NORTHERN REGION,RUMPHI,Kamlepo Kalua,MDP,#E20000,505
NORTHERN REGION,RUMPHI,Bakili Muluzi,UDF,#FCF600,"7,159"
NORTHERN REGION,RUMPHI,Bingu Wa Mutharika,UP,#6A5ACD,62
NORTHERN REGION,RUMPHI,Daniel Nkhumbwe,CONU,#3366FF,401
NORTHERN REGION,NKHATA BAY,Gwanda Chakuamba,MCP,#00A200,"72,912"
NORTHERN REGION,NKHATA BAY,Kamlepo Kalua,MDP,#E20000,"1,108"
NORTHERN REGION,NKHATA BAY,Bakili Muluzi,UDF,#FCF600,"14,636"
NORTHERN REGION,NKHATA BAY,Bingu Wa Mutharika,UP,#6A5ACD,297
NORTHERN REGION,NKHATA BAY,Daniel Nkhumbwe,CONU,#3366FF,"1,008"
NORTHERN REGION,MZIMBA,Gwanda Chakuamba,MCP,#00A200,"286,788"
NORTHERN REGION,MZIMBA,Kamlepo Kalua,MDP,#E20000,"2,889"
NORTHERN REGION,MZIMBA,Bakili Muluzi,UDF,#FCF600,"27,639"
NORTHERN REGION,MZIMBA,Bingu Wa Mutharika,UP,#6A5ACD,543
NORTHERN REGION,MZIMBA,Daniel Nkhumbwe,CONU,#3366FF,"3,209"
CENTRAL REGION,KASUNGU,Gwanda Chakuamba,MCP,#00A200,"163,396"
CENTRAL REGION,KASUNGU,Kamlepo Kalua,MDP,#E20000,"3,005"
CENTRAL REGION,KASUNGU,Bakili Muluzi,UDF,#FCF600,"50,025"
CENTRAL REGION,KASUNGU,Bingu Wa Mutharika,UP,#6A5ACD,657
